house_value,Crime_Rate,Charles_river_bound,num_of_rooms,dist_to_employment_center,property_tax_rate,student_teacher_ratio,Nitric_Oxides,accessiblity_to_highway
263000,5.2737,No,7,3.4106,666,20.2,0.532,24
221000,2.7107,No,6,4.0983,666,20.2,0.532,24
213000,2.2126,No,6,3.724,666,20.2,0.583,24
219000,3.5234,No,6,3.9917,666,20.2,0.583,24
201000,6.0046,No,6,3.5459,666,20.2,0.583,24
216000,5.1616,No,6,3.1523,666,20.2,0.583,24
154000,0.1648,No,5,1.8209,711,20.1,0.609,4
84000,0.1796,No,5,1.7554,711,20.1,0.609,4
95000,0.2162,No,5,1.8226,711,20.1,0.609,4
145000,0.0982,No,6,1.8681,711,20.1,0.609,4
202000,0.1112,No,6,2.1099,711,20.1,0.609,4
225000,0.1903,No,6,2.3817,391,19.2,0.585,6
256000,0.3039,No,6,2.3817,391,19.2,0.585,6
245000,0.1635,No,6,2.7986,391,19.2,0.585,6
211000,0.3107,No,5,2.7986,391,19.2,0.585,6
189000,0.2634,No,6,2.8927,391,19.2,0.585,6
218000,0.2233,No,6,2.4091,391,19.2,0.585,6
189000,0.1682,No,6,2.3999,391,19.2,0.585,6
177000,0.2397,No,6,2.4982,391,19.2,0.585,6
225000,0.0687,No,7,2.4786,273,21,0.573,1
220000,0.0416,No,6,2.2875,273,21,0.573,1
246000,0.0579,No,7,2.1675,273,21,0.573,1
231000,0.1162,No,7,2.3889,273,21,0.573,1
129000,0.0466,No,6,2.505,273,21,0.573,1
